Transaktionen,Header,DataDiscriminator,Vermögenswertkategorie,Währung,Symbol,Datum/Zeit,Menge,T.-Kurs,Schlussk.,Erlös,Prov./Gebühr,Basis,Realisierter G&V,MTM-G&V,Code
Transaktionen,Data,Order,Aktien,EUR,BEId,"2024-01-10, 07:25:09",20,137.6,138.05,-2752,-4,2756,0,9,O
Transaktionen,Data,Order,Aktien,EUR,BEId,"2024-01-23, 06:24:00",-20,133.55,134.6,2671,-2.671,-2756,-87.671,-21,C
Transaktionen,SubTotal,,Aktien,EUR,BEId,,0,,,-81,-6.671,0,-87.671,-12,
Transaktionen,Data,Order,Aktien,EUR,DBKd,"2024-01-10, 07:23:51",70,12.722,12.75,-890.54,-2,892.54,0,1.96,O
Transaktionen,Data,Order,Aktien,EUR,DBKd,"2024-01-11, 04:04:49",-70,12.36,12.2,865.2,-2,-892.54,-29.34,11.2,C;IA
Transaktionen,SubTotal,,Aktien,EUR,DBKd,,0,,,-25.34,-4,0,-29.34,13.16,
Transaktionen,Data,Order,Aktien,EUR,HLEd,"2023-12-07, 08:34:23",9,81.3,81.2,-731.7,-4,735.7,0,-0.9,O
Transaktionen,SubTotal,,Aktien,EUR,HLEd,,9,,,-731.7,-4,735.7,0,-0.9,
Transaktionen,Data,Order,Aktien,EUR,MTXd,"2024-01-24, 10:07:12",8,217.3,217.7,-1738.4,-2,1740.4,0,3.2,O
Transaktionen,SubTotal,,Aktien,EUR,MTXd,,8,,,-1738.4,-2,1740.4,0,3.2,
Transaktionen,Data,Order,Aktien,EUR,MUV2d,"2023-12-08, 03:27:14",3,389.1,391.3,-1167.3,-4,1171.3,0,6.6,O
Transaktionen,Data,Order,Aktien,EUR,MUV2d,"2023-12-14, 09:56:08",-3,379.3,376.6,1137.9,-2,-1171.3,-35.4,8.1,C;IA
Transaktionen,SubTotal,,Aktien,EUR,MUV2d,,0,,,-29.4,-6,0,-35.4,14.7,
Transaktionen,Data,Order,Aktien,EUR,MUXd,"2023-12-12, 04:54:19",25,31.95,32.8,-798.75,-4,802.75,0,21.25,O
Transaktionen,SubTotal,,Aktien,EUR,MUXd,,25,,,-798.75,-4,802.75,0,21.25,
Transaktionen,Data,Order,Aktien,EUR,SFQd,"2024-01-10, 07:32:34",80,15.06,15.16,-1204.8,-4,1208.8,0,8,O;P
Transaktionen,SubTotal,,Aktien,EUR,SFQd,,80,,,-1204.8,-4,1208.8,0,8,
Transaktionen,Total,,Aktien,EUR,,,,,,-4609.39,-30.671,4487.65,-152.411,47.41, 
Transaktionen,Data,Order,Aktien,USD,AGO,"2024-01-03, 10:05:55",20,74.825,74.2,-1496.5,-2,1498.5,0,-12.5,O
Transaktionen,SubTotal,,Aktien,USD,AGO,,20,,,-1496.5,-2,1498.5,0,-12.5,
Transaktionen,Data,Order,Aktien,USD,AIG,"2024-01-03, 10:02:52",24,68.89,68.61,-1653.36,-2,1655.36,0,-6.72,O
Transaktionen,SubTotal,,Aktien,USD,AIG,,24,,,-1653.36,-2,1655.36,0,-6.72,
Transaktionen,Data,Order,Aktien,USD,AIZ,"2024-01-03, 10:03:05",9,173.185,169.99,-1558.665,-2,1560.665,0,-28.755,O
Transaktionen,Data,Order,Aktien,USD,AIZ,"2024-01-23, 12:36:34",-9,169.04,169.15,1521.36,-2,-1560.665,-41.305,-0.99,C
Transaktionen,SubTotal,,Aktien,USD,AIZ,,0,,,-37.305,-4,0,-41.305,-29.745,
Transaktionen,Data,Order,Aktien,USD,ALL,"2023-12-08, 11:07:04",12,138.935,139.32,-1667.22,-2,1669.22,0,4.62,O;P
Transaktionen,SubTotal,,Aktien,USD,ALL,,12,,,-1667.22,-2,1669.22,0,4.62,
Transaktionen,Data,Order,Aktien,USD,ANF,"2023-12-08, 11:06:21",10,78.16,78.65,-781.6,-2,783.6,0,4.9,O
Transaktionen,Data,Order,Aktien,USD,ANF,"2023-12-18, 11:12:10",5,86.07,86.67,-430.35,-2,432.35,0,3,O
Transaktionen,Data,Order,Aktien,USD,ANF,"2024-01-03, 10:02:49",-6,89.78,88.76,538.68,-2,-470.16,66.52,6.12,C;P
Transaktionen,SubTotal,,Aktien,USD,ANF,,9,,,-673.27,-6,745.79,66.52,14.02,
Transaktionen,Data,Order,Aktien,USD,AVPT,"2023-11-30, 12:16:45",100,8.175,8.19,-817.5,-2,819.5,0,1.5,O
Transaktionen,Data,Order,Aktien,USD,AVPT,"2024-01-03, 10:02:50",20,7.885,7.78,-157.7,-2,159.7,0,-2.1,O
Transaktionen,Data,Order,Aktien,USD,AVPT,"2024-01-17, 09:59:39",-120,7.812,7.93,937.44,-2,-979.2,-43.76,-14.16,C
Transaktionen,SubTotal,,Aktien,USD,AVPT,,0,,,-37.76,-6,0,-43.76,-14.76,
Transaktionen,Data,Order,Aktien,USD,BRBR,"2023-11-30, 12:17:36",21,52.19,52.9,-1095.99,-2,1097.99,0,14.91,O
Transaktionen,Data,Order,Aktien,USD,BRBR,"2024-01-03, 10:02:49",3,51.13,51.37,-153.39,-2,155.39,0,0.72,O
Transaktionen,SubTotal,,Aktien,USD,BRBR,,24,,,-1249.38,-4,1253.38,0,15.63,
Transaktionen,Data,Order,Aktien,USD,CBOE,"2023-11-30, 12:16:45",11,180.65,182.19,-1987.15,-2,1989.15,0,16.94,O
Transaktionen,Data,Order,Aktien,USD,CBOE,"2023-12-14, 09:41:14",-11,171.44,172.28,1885.84,-2,-1989.15,-105.31,-9.24,C
Transaktionen,Data,Order,Aktien,USD,CBOE,"2023-12-18, 11:17:20",15,176.08,174.99,-2641.2,-2,2643.2,0,-16.35,O
Transaktionen,Data,Order,Aktien,USD,CBOE,"2023-12-21, 10:36:08",-1,176.245,176.11,176.245,-2,-176.213333,-1.968333,0.135,C
Transaktionen,Data,Order,Aktien,USD,CBOE,"2024-01-03, 10:02:49",-4,177.205,174.88,708.82,-2,-704.853333,1.966667,9.3,C
