Transaktionen,Header,DataDiscriminator,Vermögenswertkategorie,Währung,Symbol,Datum/Zeit,Menge,T.-Kurs,Schlussk.,Erlös,Prov./Gebühr,Basis,Realisierter G&V,MTM-G&V,Code
Transaktionen,Data,Order,Aktien,EUR,BEId,"2024-01-10, 07:25:09",20,137.6,138.05,-2752,-4,2756,0,9,O
Transaktionen,Data,Order,Aktien,EUR,BEId,"2024-01-23, 06:24:00",-20,133.55,134.6,2671,-2.671,-2756,-87.671,-21,C
Transaktionen,SubTotal,,Aktien,EUR,BEId,,0,,,-81,-6.671,0,-87.671,-12,
Transaktionen,Data,Order,Aktien,EUR,DBKd,"2024-01-10, 07:23:51",70,12.722,12.75,-890.54,-2,892.54,0,1.96,O
Transaktionen,Data,Order,Aktien,EUR,DBKd,"2024-01-11, 04:04:49",-70,12.36,12.2,865.2,-2,-892.54,-29.34,11.2,C;IA
Transaktionen,SubTotal,,Aktien,EUR,DBKd,,0,,,-25.34,-4,0,-29.34,13.16,
Transaktionen,Data,Order,Aktien,EUR,ENR,"2024-03-21, 10:58:00",80,15.915,15.855,-1273.2,-4,1277.2,0,-4.8,O
Transaktionen,Data,Order,Aktien,EUR,ENR,"2024-04-11, 03:01:49",-80,17.555,17.42,1404.4,-2,-1277.2,125.2,10.8,C;IA
Transaktionen,Data,Order,Aktien,EUR,ENR,"2024-04-29, 04:41:47",150,18.995,19.125,-2849.25,-4,2853.25,0,19.5,O;P
Transaktionen,Data,Order,Aktien,EUR,ENR,"2024-05-13, 04:15:01",-150,22.94,24.19,3441,-3.441,-2853.25,584.309,-187.5,C;P
Transaktionen,Data,Order,Aktien,EUR,ENR,"2024-05-15, 03:54:20",200,24.58,25.71,-4916,-4.916,4920.916,0,226,O
Transaktionen,Data,Order,Aktien,EUR,ENR,"2024-05-20, 10:34:48",50,24.16,24.35,-1208,-4,1212,0,9.5,O
Transaktionen,Data,Order,Aktien,EUR,ENR,"2024-05-29, 10:53:01",-250,25.63,25.8,6407.5,-6.4075,-6132.916,268.1765,-42.5,C
Transaktionen,SubTotal,,Aktien,EUR,ENR,,0,,,1006.45,-28.7645,0,977.6855,31,
Transaktionen,Data,Order,Aktien,EUR,FMNB,"2024-04-23, 06:22:04",45,22.11,22.23,-994.95,-2,996.95,0,5.4,IA;O
Transaktionen,Data,Order,Aktien,EUR,FMNB,"2024-04-25, 06:52:17",-45,21,21.42,945,-2,-996.95,-53.95,-18.9,C;IA
Transaktionen,SubTotal,,Aktien,EUR,FMNB,,0,,,-49.95,-4,0,-53.95,-13.5,
Transaktionen,Data,Order,Aktien,EUR,HLEd,"2024-02-16, 03:28:03",-9,79,80.8,711,-2,-735.7,-26.7,-16.2,C
Transaktionen,SubTotal,,Aktien,EUR,HLEd,,-9,,,711,-2,-735.7,-26.7,-16.2,
Transaktionen,Data,Order,Aktien,EUR,HO,"2024-04-24, 04:42:11",8,160.15,160,-1281.2,-2,1283.2,0,-1.2,O
Transaktionen,Data,Order,Aktien,EUR,HO,"2024-04-25, 06:52:25",-8,154.9,156.65,1239.2,-2,-1283.2,-46,-14,C;IA
Transaktionen,SubTotal,,Aktien,EUR,HO,,0,,,-42,-4,0,-46,-15.2,
Transaktionen,Data,Order,Aktien,EUR,IDL,"2024-03-15, 04:00:16",4,342,336,-1368,-2,1370,0,-24,O
Transaktionen,Data,Order,Aktien,EUR,IDL,"2024-03-21, 10:18:36",-4,330,329,1320,-2,-1370,-52,4,C
Transaktionen,SubTotal,,Aktien,EUR,IDL,,0,,,-48,-4,0,-52,-20,
Transaktionen,Data,Order,Aktien,EUR,MTXd,"2024-01-24, 10:07:12",8,217.3,217.7,-1738.4,-2,1740.4,0,3.2,O
Transaktionen,Data,Order,Aktien,EUR,MTXd,"2024-02-22, 03:02:47",-8,213,216.1,1704,-4,-1740.4,-40.4,-24.8,C
Transaktionen,SubTotal,,Aktien,EUR,MTXd,,0,,,-34.4,-6,0,-40.4,-21.6,
Transaktionen,Data,Order,Aktien,EUR,MUXd,"2024-02-09, 03:15:02",-25,35.15,35.9,878.75,-2,-802.75,74,-18.75,C
Transaktionen,SubTotal,,Aktien,EUR,MUXd,,-25,,,878.75,-2,-802.75,74,-18.75,
Transaktionen,Data,Order,Aktien,EUR,RHMd,"2024-04-23, 06:03:47",3,517.4,514.6,-1552.2,-4,1556.2,0,-8.4,O
Transaktionen,Data,Order,Aktien,EUR,RHMd,"2024-05-14, 03:09:44",-3,504.8,521.6,1514.4,-2,-1556.2,-43.8,-50.4,C
Transaktionen,SubTotal,,Aktien,EUR,RHMd,,0,,,-37.8,-6,0,-43.8,-58.8,
Transaktionen,Data,Order,Aktien,EUR,SDV,"2024-04-23, 06:21:09",13,79.02,79.5,-1027.26,-2,1029.26,0,6.24,O
Transaktionen,Data,Order,Aktien,EUR,SDV,"2024-04-30, 06:00:07",-13,75.24,75.1,978.12,-2,-1029.26,-53.14,1.82,C
Transaktionen,SubTotal,,Aktien,EUR,SDV,,0,,,-49.14,-4,0,-53.14,8.06,
Transaktionen,Data,Order,Aktien,EUR,SFQd,"2024-01-10, 07:32:34",80,15.06,15.16,-1204.8,-4,1208.8,0,8,O;P
Transaktionen,Data,Order,Aktien,EUR,SFQd,"2024-03-18, 11:59:11",-80,17.67,17.7,1413.6,-2,-1208.8,202.8,-2.4,C;IM;P
Transaktionen,SubTotal,,Aktien,EUR,SFQd,,0,,,208.8,-6,0,202.8,5.6,
Transaktionen,Data,Order,Aktien,EUR,SHAd,"2024-03-21, 11:09:20",-100,6.08,6.16,608,-2,-606,0,-8,O
Transaktionen,Data,Order,Aktien,EUR,SHAd,"2024-03-22, 05:21:51",100,6.16,6.185,-616,-2,606,-12,2.5,C;IA
Transaktionen,SubTotal,,Aktien,EUR,SHAd,,0,,,-8,-4,0,-12,-5.5,
