Transaktionen,Header,DataDiscriminator,Vermögenswertkategorie,Währung,Symbol,Datum/Zeit,Menge,T.-Kurs,Schlussk.,Erlös,Prov./Gebühr,Basis,Realisierter G&V,MTM-G&V,Code
"Transaktionen,Data,Order,Aktien,EUR,BEId,""2024-01-10, 07:25:09"",20,137.6,138.05,-2752,-4,2756,0,9,O"
"Transaktionen,Data,Order,Aktien,EUR,BEId,""2024-01-23, 06:24:00"",-20,133.55,134.6,2671,-2.671,-2756,-87.671,-21,C"
Transaktionen,SubTotal,,Aktien,EUR,BEId,,0,,,-81,-6.671,0,-87.671,-12,
"Transaktionen,Data,Order,Aktien,EUR,DBKd,""2024-01-10, 07:23:51"",70,12.722,12.75,-890.54,-2,892.54,0,1.96,O"
"Transaktionen,Data,Order,Aktien,EUR,DBKd,""2024-01-11, 04:04:49"",-70,12.36,12.2,865.2,-2,-892.54,-29.34,11.2,C;IA"
Transaktionen,SubTotal,,Aktien,EUR,DBKd,,0,,,-25.34,-4,0,-29.34,13.16,
"Transaktionen,Data,Order,Aktien,EUR,ENR,""2024-03-21, 10:58:00"",80,15.915,15.855,-1273.2,-4,1277.2,0,-4.8,O"
"Transaktionen,Data,Order,Aktien,EUR,ENR,""2024-04-11, 03:01:49"",-80,17.555,17.42,1404.4,-2,-1277.2,125.2,10.8,C;IA"
Transaktionen,SubTotal,,Aktien,EUR,ENR,,0,,,131.2,-6,0,125.2,6,
"Transaktionen,Data,Order,Aktien,EUR,HLEd,""2023-12-07, 08:34:23"",9,81.3,81.2,-731.7,-4,735.7,0,-0.9,O"
"Transaktionen,Data,Order,Aktien,EUR,HLEd,""2024-02-16, 03:28:03"",-9,79,80.8,711,-2,-735.7,-26.7,-16.2,C"
Transaktionen,SubTotal,,Aktien,EUR,HLEd,,0,,,-20.7,-6,0,-26.7,-17.1,
"Transaktionen,Data,Order,Aktien,EUR,IDL,""2024-03-15, 04:00:16"",4,342,336,-1368,-2,1370,0,-24,O"
"Transaktionen,Data,Order,Aktien,EUR,IDL,""2024-03-21, 10:18:36"",-4,330,329,1320,-2,-1370,-52,4,C"
Transaktionen,SubTotal,,Aktien,EUR,IDL,,0,,,-48,-4,0,-52,-20,
"Transaktionen,Data,Order,Aktien,EUR,MTXd,""2024-01-24, 10:07:12"",8,217.3,217.7,-1738.4,-2,1740.4,0,3.2,O"
"Transaktionen,Data,Order,Aktien,EUR,MTXd,""2024-02-22, 03:02:47"",-8,213,216.1,1704,-4,-1740.4,-40.4,-24.8,C"
Transaktionen,SubTotal,,Aktien,EUR,MTXd,,0,,,-34.4,-6,0,-40.4,-21.6,
"Transaktionen,Data,Order,Aktien,EUR,MUV2d,""2023-12-08, 03:27:14"",3,389.1,391.3,-1167.3,-4,1171.3,0,6.6,O"
"Transaktionen,Data,Order,Aktien,EUR,MUV2d,""2023-12-14, 09:56:08"",-3,379.3,376.6,1137.9,-2,-1171.3,-35.4,8.1,C;IA"
Transaktionen,SubTotal,,Aktien,EUR,MUV2d,,0,,,-29.4,-6,0,-35.4,14.7,
"Transaktionen,Data,Order,Aktien,EUR,MUXd,""2023-12-12, 04:54:19"",25,31.95,32.8,-798.75,-4,802.75,0,21.25,O"
"Transaktionen,Data,Order,Aktien,EUR,MUXd,""2024-02-09, 03:15:02"",-25,35.15,35.9,878.75,-2,-802.75,74,-18.75,C"
Transaktionen,SubTotal,,Aktien,EUR,MUXd,,0,,,80,-6,0,74,2.5,
"Transaktionen,Data,Order,Aktien,EUR,SFQd,""2024-01-10, 07:32:34"",80,15.06,15.16,-1204.8,-4,1208.8,0,8,O;P"
"Transaktionen,Data,Order,Aktien,EUR,SFQd,""2024-03-18, 11:59:11"",-80,17.67,17.7,1413.6,-2,-1208.8,202.8,-2.4,C;IM;P"
Transaktionen,SubTotal,,Aktien,EUR,SFQd,,0,,,208.8,-6,0,202.8,5.6,
"Transaktionen,Data,Order,Aktien,EUR,SHAd,""2024-03-21, 11:09:20"",-100,6.08,6.16,608,-2,-606,0,-8,O"
"Transaktionen,Data,Order,Aktien,EUR,SHAd,""2024-03-22, 05:21:51"",100,6.16,6.185,-616,-2,606,-12,2.5,C;IA"
Transaktionen,SubTotal,,Aktien,EUR,SHAd,,0,,,-8,-4,0,-12,-5.5,
Transaktionen,Total,,Aktien,EUR,,,,,,173.16,-54.671,0,118.489,-34.24,
"Transaktionen,Data,Order,Aktien,USD,AGO,""2024-01-03, 10:05:55"",20,74.825,74.2,-1496.5,-2,1498.5,0,-12.5,O"
"Transaktionen,Data,Order,Aktien,USD,AGO,""2024-03-22, 12:57:06"",-20,89.258,89.58,1785.16,-2,-1498.5,284.66,-6.44,C;P"
Transaktionen,SubTotal,,Aktien,USD,AGO,,0,,,288.66,-4,0,284.66,-18.94,
"Transaktionen,Data,Order,Aktien,USD,AIG,""2024-01-03, 10:02:52"",24,68.89,68.61,-1653.36,-2,1655.36,0,-6.72,O"
"Transaktionen,Data,Order,Aktien,USD,AIG,""2024-02-20, 15:57:27"",-24,68.062,68.13,1633.488,-2,-1655.36,-23.872,-1.632,C"
Transaktionen,SubTotal,,Aktien,USD,AIG,,0,,,-19.872,-4,0,-23.872,-8.352,
"Transaktionen,Data,Order,Aktien,USD,AIZ,""2024-01-03, 10:03:05"",9,173.185,169.99,-1558.665,-2,1560.665,0,-28.755,O"
"Transaktionen,Data,Order,Aktien,USD,AIZ,""2024-01-23, 12:36:34"",-9,169.04,169.15,1521.36,-2,-1560.665,-41.305,-0.99,C"
Transaktionen,SubTotal,,Aktien,USD,AIZ,,0,,,-37.305,-4,0,-41.305,-29.745,
"Transaktionen,Data,Order,Aktien,USD,ALL,""2023-12-08, 11:07:04"",12,138.935,139.32,-1667.22,-2,1669.22,0,4.62,O;P"
"Transaktionen,Data,Order,Aktien,USD,ALL,""2024-04-09, 10:43:07"",-12,168.47,168.33,2021.64,-2,-1669.22,350.42,1.68,C"
